VolumeControl:false, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:false, Mute:false, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:false, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:false, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:false, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:false, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:false, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:false, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:false, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:false, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:false, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:false, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:false, Mute:false, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:false, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:false, Mute:false, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:false, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:false, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:false, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:false, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:false, Mute:false, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:false, Mute:false, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:false, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:false, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:false, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:false, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:false, Mute:false, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:false, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:false, Mute:false, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:false, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:false, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:false, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:false, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:false, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:false, Mute:false, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:false, Mute:false, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:false, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:false, ShowTime:false, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:true, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:true, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:false, Mute:true, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:false, Mute:true, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:true, ShowTime:false, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:true, ShowTime:false, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:true, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:false, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:true, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:false, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:false, Mute:true, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:false, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:false, Mute:true, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:false, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:true, ShowTime:false, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:false, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:true, ShowTime:false, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:true, MP3:false, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:true, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:true, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:false, Mute:true, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:false, Mute:true, ShowTime:true, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:true, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:true, ShowTime:false, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, WEICHBRODT_featureAMP:true, ReorderPlaylist:false, Playlist:false, TimeDisplay:true, Light:false, ShuffleSkipRemove:false, SaveAndLoadPlaylist:false, GUI:true, QueueTrack:false, FileSupport:true, ProgressBar:true, Mute:true, ShowTime:false, ShowCover:true, LoadFolder:false, ShuffleRepeat:false, OGG:false, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, 
